#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
Europe_trade_route;European trade;Commerce européen;Europäischer Handel;;Comercio europeo;;;;;;;;;x
tr_euro_sca_office_1_desc;This is a rudimentary but effective trade office, controlling all trade that passes by the trade poste;C'est un bureau commercial rudimentaire mais efficace.;Dies ist ein rudimentÃ¤res, aber effektives Handelsburo, das den gesamten Handel kontrolliert, der an der Handelspost vorbei geht;Esta es una oficina comercial rudimentaria pero efectiva, que controla todo el comercio que pasa por el poste de comercio.;;;;;;;;;x
tr_euro_sca_office_2_desc;The trade offices have been rebuild and are now a permanent fixture.;Les bureaux commerciaux ont été reconstruits et sont maintenant une installation permanente.;Die Handelsburos wurden umgebaut und sind jetzt ein fester Bestandteil.;Las oficinas de comercio han sido reconstruidas y ahora son un elemento permanente.;;;;;;;;;x
tr_euro_sca_office_3_desc;This large trade office controls the flow of trade and promotes the city.;Ce grand bureau commercial contrôle les flux commerciaux et promeut la ville.;Dieses groÃŸe Handelsburo kontrolliert den Handelsfluss und fordert die Stadt.;Esta gran oficina de comercio controla el flujo de comercio y promueve la ciudad.;;;;;;;;;x
tr_euro_office_4_desc;These offices consist of ambasadeurs and experienced traders which negotiate new trade contracts and protect the interests of the merchants.;Ces bureaux sont composés d'ambassadeurs et de commerçants expérimentés qui négocient de nouveaux contrats commerciaux et protègent les intérêts des commerçants.;Diese Buros bestehen aus Botschaftern und erfahrenen HÃ¤ndlern, die neue HandelsvertrÃ¤ge aushandeln und die Interessen der HÃ¤ndler schutzen.;Estas oficinas estÃ¡n compuestas por embajadores y comerciantes experimentados que negocian nuevos contratos comerciales y protegen los intereses de los comerciantes.;;;;;;;;;x
tr_euro_office_5_desc;A grandeur trade office which promote the trade of the realm and control the trade from all over the region.;Un bureau commercial grandeur qui promeut le commerce du royaume et contrôle le commerce de toute la région.;Ein groÃŸartiges Handelsburo, das den Handel des Reiches fordert und den Handel aus der ganzen Region kontrolliert.;Una gran oficina de comercio que promueve el comercio del reino y controla el comercio de toda la regiÃ³n.;;;;;;;;;x

mercenary_garrison_europe_1;Small mercenary company;Petite entreprise mercenaire;Kleine Soldnerfirma;;PequeÃ±a empresa mercenaria.;;;;;;;;;x
mercenary_garrison_europe_2;Settled mercenary company;Société de mercenaires établie;Erledigte Soldnerkompanie;;Empresa mercenaria asentada;;;;;;;;;x
mercenary_garrison_europe_3;Medium Mercenary company;Compagnie Mercenaire Moyenne;Mittlere Soldnerfirma;;Empresa mercenaria mediana;;;;;;;;;x
mercenary_garrison_europe_4;Large Mercenary Company;Grande entreprise mercenaire;GroÃŸe Soldnerkompanie;;Gran empresa mercenaria;;;;;;;;;x
mercenary_garrison_europe_5;Mercenary Fort;Fort Mercenaire;Soldnerfestung;;Fuerte Mercenario;;;;;;;;;x

mercenary_garrison_sca_1;Small mercenary company;Petite entreprise mercenaire;Kleine Soldnerfirma;;PequeÃ±a empresa mercenaria.;;;;;;;;;x
mercenary_garrison_sca_2;Medium Mercenary company;Compagnie Mercenaire Moyenne;Mittlere Soldnerfirma;;Empresa mercenaria mediana;;;;;;;;;x
mercenary_garrison_sca_3;Large Mercenary Company;Grande entreprise mercenaire;GroÃŸe Soldnerkompanie;;Gran empresa mercenaria;;;;;;;;;x

tr_euro_sca_garrison_1_desc;A small band of mercenaries stationed in this trade post, acting as guards and protecting the traders from outside.;Une petite bande de mercenaires en poste dans ce poste, agissant en tant que gardes et protégeant les commerçants de l'extérieur.;Eine kleine Gruppe von Soldnern, die in diesem Handelsposten stationiert sind, als WÃ¤chter fungieren und die HÃ¤ndler vor AuÃŸen schutzen.;Una pequeÃ±a banda de mercenarios estacionados en este puesto comercial, actuando como guardias y protegiendo a los comerciantes desde el exterior.;;;;;;;;;x
tr_euro_sca_garrison_2_desc;Plenty of merchants are permanently stationed in this trade post, acting as guards and protecting the traders from outside threats.;De nombreux marchands sont en permanence dans ce poste de traite, agissant en tant que gardes et protégeant les commerçants des menaces extérieures.;Viele HÃ¤ndler sind permanent in diesem Handelsposten stationiert, dienen als WÃ¤chter und schutzen die HÃ¤ndler vor Bedrohungen von auÃŸen.;Muchos comerciantes estÃ¡n estacionados permanentemente en este puesto comercial, actuando como guardias y protegiendo a los comerciantes de amenazas externas.;;;;;;;;;x
tr_euro_sca_garrison_3_desc;An enormous amount of mercenaries are permanently stationed in this trade post, acting as guards and protecting the traders from outside threats.;Une énorme quantité de mercenaires sont en permanence dans ce poste de traite, agissant en tant que gardes et protégeant les commerçants des menaces extérieures.;Eine enorme Anzahl von Soldnern ist permanent in diesem Handelsposten stationiert, dient als Wache und schutzt die HÃ¤ndler vor Bedrohungen von auÃŸen.;Una enorme cantidad de mercenarios estÃ¡n estacionados permanentemente en este puesto comercial, actuando como guardias y protegiendo a los comerciantes de amenazas externas.;;;;;;;;;x
tr_euro_garrison_4_desc;The mercenaries have been stationed in a permanent fort and have created defences against bandids and foreign invaders.;Les mercenaires ont été postés dans un fort permanent et ont créé des défenses contre les bandits et les envahisseurs étrangers.;Die Soldner sind in einer permanenten Festung stationiert und haben AbwehrkrÃ¤fte gegen Banditen und auslÃ¤ndische Invasoren geschaffen.;Los mercenarios han estado estacionados en un fuerte permanente y han creado defensas contra bandidos e invasores extranjeros.;;;;;;;;;x
tr_euro_garrison_5_desc;The defence of the trade has created a mercenary army that can compete with the armies of other rulers.;La défense du commerce a créé une armée de mercenaires capable de rivaliser avec les armées d'autres dirigeants.;Die Verteidigung des Handels hat eine Soldnerarmee geschaffen, die mit den Armeen anderer Herrscher konkurrieren kann.;La defensa del comercio ha creado un ejÃ©rcito mercenario que puede competir con los ejÃ©rcitos de otros gobernantes.;;;;;;;;;x
